"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R3,R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"56k";;;
2;"D1,D2";"D_DO-15_P10.16mm_Horizontal";2;"P6KE18CA";;;
3;"TPCH1,TPCH2,TPOP1,TPOP2,TP3.3V";"TestPoint_Pad_2.5x2.5mm";5;"TestPoint";;;
4;"Q1";"SOT-23-3";1;"IRLML6344TRPBF";;;
5;"J4";"TerminalBlock_MetzConnect_Type011_RT05503HBLC_1x03_P5.00mm_Horizontal";1;"Screw_Terminal_01x03";;;
6;"J5";"PinHeader_1x03_P2.54mm_Vertical";1;"UART_hdr";;;
7;"R2,R4";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"10k";;;
8;"Rs2,Rs1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"1k";;;
9;"L1";"L_Radial_D10.0mm_P5.00mm_Fastron_07M";1;"470uH";;;
10;"D6,D7,D5,D4,D3";"D_DO-41_SOD81_P10.16mm_Horizontal";5;"1N5819";;;
11;"J2,J1";"BNC_Amphenol_B6252HB-NPP3G-50_Horizontal";2;"Conn_Coaxial";;;
12;"R6";"R_0805_2012Metric";1;"100";;;
13;"R7";"R_2512_6332Metric";1;"22";;;
14;"R5,R8";"R_0805_2012Metric";2;"1k";;;
15;"Q2";"SOT-23-3";1;"IRLML9301TRPBF";;;
16;"Rg1,Rg2,Rf1,Rf2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";4;"200k";;;
17;"A1";"RaspberryPi_Pico_Common_THT";1;"RaspberryPi_Pico";;;
18;"C7";"CP_Radial_D8.0mm_P3.80mm";1;"220uF";;;
19;"C2,C8,C9,C1,C3";"C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2";5;"100n";;;
20;"C4";"CP_Radial_D8.0mm_P3.50mm";1;"47uF";;;
21;"U2,U1";"SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm";2;"OPA2340";;;
22;"C6";"C_0805_2012Metric";1;"1n";;;
23;"C5";"CP_Radial_D8.0mm_P3.80mm";1;"100uF";;;
24;"J3";"PinSocket_2x10_P2.00mm_Vertical";1;"XADC_header";;;
